Comment,Designator,Footprint,LCSC,Quantity
1k,"R7,R8,R9",R_0402_1005Metric,C11702,3
27,"R4,R5",R_0402_1005Metric,C138021,2
0.1u,"C10,C11,C12,C13,C17,C18,C19,C20,C21,C22,C23,C24,C25,C26,C27,C29,C4,C5,C6,C7,C8,C9",C_0402_1005Metric,C1525,22
15p,"C30,C31",C_0402_1005Metric,C1548,2
TXS0108EPWR,"U4,U5,U6,U7,U8",TSSOP-20_4.4x6.5mm_P0.65mm,C17206,5
10u,"C14,C15,C2",C_0603_1608Metric,C19702,3
ABM8-272-T3,Y1,XTAL_ABM8-272-T3,C20625731,1
4.7u,"C1,C16,C28,C3",C_0402_1005Metric,C23733,4
10,R3,R_0402_1005Metric,C25077,1
330,"R11,R13,R14",R_0402_1005Metric,C25104,3
10k,"R15,R6",R_0402_1005Metric,C25744,2
5.1k,"R1,R10,R12,R2",R_0402_1005Metric,C25905,4
GT-USB-7010ASV,J5,USB_C_Receptacle_G-Switch_GT-USB-7010ASV,C2988369,1
RP2350_80QFN,U10,RP2350-QFN-80-1EP_10x10_P0.4mm_EP3.4x3.4mm_ThermalVias,C42415655,1
IP4234CZ6,U2,SC-74-6_1.55x2.9mm_P0.95mm,C455086,1
PMEG3010ER,"D1,D2",Nexperia_CFP3_SOD-123W,C456106,2
TLV74311PDBVR,U1,SOT-23-5,C485147,1
Conn_01x02_PinHeader,J9,PinHeader_1x02_P2.54mm_Vertical,C492401,1
Conn_01x20_PinHeader,"J1,J10,J11,J3",PinHeader_1x20_P2.54mm_Vertical,C50981,4
AP2112K-3.3,U3,SOT-23-5,C51118,1
XZMDKCBDDG45S-9,D3,LED_XZMDKCBDDG45S-9,C5355400,1
TS-1088-AR02016,SW1,TS-1088-xxxxxxx,C720477,1
Conn_01x02_PinSocket,J8,PinSocket_1x02_P2.54mm_Vertical,C7499322,1
Conn_01x20_PinSocket,"J2,J4",PinSocket_1x20_P2.54mm_Vertical,C7499336,2
W25Q128JVS,U9,SOIC-8_5.3x5.3mm_P1.27mm,C97521,1
