Designator,Mid X,Mid Y,Rotation,Layer
C1,143.43375,-82.8,90.0,top
C10,111.75,-77.4,0.0,top
C11,104.45,-76.1,270.0,top
C12,110.49,-88.392,180.0,top
C13,106.2,-88.15,180.0,top
C14,114.3,-85.4445,90.0,top
C15,99.06,-55.118,90.0,top
C16,146.76625,-64.9,0.0,top
C17,139.93375,-73.3675,270.0,top
C18,131.03375,-66.7325,270.0,top
C19,131.43375,-63.0325,90.0,top
C2,148.57125,-84.9,180.0,top
C20,133.03375,-70.1,270.0,top
C21,136.53375,-73.3675,270.0,top
C22,138.33375,-73.3675,270.0,top
C23,145.23375,-71.9,270.0,top
C24,146.76625,-65.9,0.0,top
C25,145.53375,-61.4,90.0,top
C26,139.93375,-58.093,90.0,top
C27,136.73375,-58.1,90.0,top
C28,143.93375,-58.1,90.0,top
C29,141.53375,-51.7,270.0,top
C3,143.40875,-87.793,90.0,top
C30,136.63375,-77.1,90.0,top
C31,138.93375,-79.7,0.0,top
C4,111.9952,-45.15,0.0,top
C5,106.45,-45.15,180.0,top
C6,111.75,-55.9,0.0,top
C7,104.45,-54.5825,270.0,top
C8,113.8,-65.35,270.0,top
C9,106.2,-66.7,180.0,top
D1,143.7,-47.0,180.0,top
D2,147.13375,-50.9,90.0,top
D3,147.00875,-41.1,90.0,top
J1,152.4,-62.23,0.0,top
J10,116.84,-62.23,180.0,bottom
J11,101.6,-62.23,180.0,bottom
J2,96.52,-62.23,0.0,top
J3,127.0,-62.23,0.0,top
J4,121.92,-62.23,0.0,top
J5,139.188,-38.679,180.0,top
J6,109.22,-62.23,0.0,top
J8,115.57,-88.9,270.0,top
J9,133.35,-88.9,90.0,top
R1,142.6,-45.2,0.0,top
R10,148.43375,-64.0,90.0,top
R11,146.453875,-58.166,90.0,top
R12,148.43375,-67.1975,270.0,top
R13,147.574,-58.166,90.0,top
R14,145.33375,-58.166,90.0,top
R15,99.06,-58.164,270.0,top
R2,135.7,-45.2,180.0,top
R3,142.93375,-58.0955,270.0,top
R4,140.93375,-58.0955,90.0,top
R5,141.93375,-58.0955,270.0,top
R6,132.63125,-49.5,180.0,top
R7,135.13375,-49.5,180.0,top
R8,145.23375,-79.2,90.0,top
R9,141.33375,-77.1,90.0,top
SW1,131.73375,-40.5,270.0,top
U1,146.27125,-82.45,0.0,top
U10,139.13375,-65.7965,0.0,top
U2,139.13375,-46.5,180.0,top
U3,146.27125,-87.35,0.0,top
U4,109.22,-41.0,90.0,top
U5,108.9825,-51.75,90.0,top
U6,108.9825,-62.5,90.0,top
U7,108.9825,-73.25,90.0,top
U8,108.9825,-84.0,90.0,top
U9,136.13375,-53.0,270.0,top
Y1,138.93375,-77.043,0.0,top
